edge,mass_flow_kg_h
"((2593208.3, 1119147.0), 'connection_A2-48')",35225.0
"((2593087.8, 1119112.9), 'connection_A2-45')",4625.0
"((2593743.2, 1119341.4), 'connection_C2-148')",16100.0
"((2593743.2, 1119341.4), 'connection_C2-207')",16100.0
"((2593692.2, 1119352.9), 'connection_C2-148')",16100.0
"((2593692.2, 1119352.9), 'connection_C2-179')",16100.0
"((2593676.7, 1119355.1), 'connection_C2-185')",16100.0
"((2593676.7, 1119355.1), 'connection_C2-201')",16100.0
"((2593087.8, 1119113.0), (2593097.9, 1119039.5))",4625.0
"((2593097.9, 1119039.5), 'connection_nappe')",4625.0
"((2593528.2, 1119088.7), 'connection_B4-155')",138500.0
"((2594205.3, 1119180.5), 'connection_rhone')",4625.0
"('connection_C1-1', 'connection_A4-233')",4625.0
"('connection_C2-0', 'connection_C2-219')",23750.0
"('connection_C2-0', 'connection_C2-223')",23750.0
"('connection_H2-3', 'connection_H2-20')",9980.0
"('connection_E4-4', 'connection_E4-131')",4625.0
"('connection_E2-5', 'connection_E4-131')",4625.0
"('connection_H3-6', 'connection_H3-8')",4625.0
"('connection_H3-9', 'connection_H4-29')",23750.0
"('connection_H3-9', 'connection_nappe_ste_marguerite')",23750.0
"('connection_H2-10', 'connection_H2-15')",4625.0
"('connection_H2-11', 'connection_H2-15')",4625.0
"('connection_H4-12', 'connection_E4-254')",9980.0
"('connection_H2-13', 'connection_H2-20')",9980.0
"('connection_H2-14', 'connection_H2-18')",35225.0
"('connection_H2-14', 'connection_H2-22')",46700.0
"('connection_H2-16', 'connection_F4-66')",16100.0
"('connection_H2-17', 'connection_H2-18')",35225.0
"('connection_H2-23', 'connection_F4-64')",16100.0
"('connection_H2-23', 'connection_F4-65')",23750.0
"('connection_H3-25', 'connection_H4-30')",23750.0
"('connection_H4-26', 'connection_H4-27')",4625.0
"('connection_H4-28', 'connection_G2-249')",4625.0
"('connection_H4-28', 'connection_G2-250')",4625.0
"('connection_H4-29', 'connection_H4-30')",23750.0
"('connection_H4-32', 'connection_G2-128')",4625.0
"('connection_H1-33', 'connection_F3-49')",46700.0
"('connection_B3-34', 'connection_B3-86')",4625.0
"('connection_B3-34', 'connection_B3-241')",4625.0
"('connection_G2-36', 'connection_H3-126')",4625.0
"('connection_D3-37', 'connection_D2-227')",23750.0
"('connection_B2-38', 'connection_B2-82')",4625.0
"('connection_B4-39', 'connection_B3-87')",4625.0
"('connection_B3-42', 'connection_B2-43')",4625.0
"('connection_B3-42', 'connection_B3-83')",4625.0
"('connection_B2-43', 'connection_B3-85')",4625.0
"('connection_B2-44', 'connection_B2-239')",9980.0
"('connection_B2-44', 'connection_B2-240')",9980.0
"('connection_A2-46', 'connection_A2-47')",4625.0
"('connection_A2-48', 'connection_A2-237')",35225.0
"('connection_B1-50', 'connection_B1-69')",4625.0
"('connection_F3-51', 'connection_D2-230')",23750.0
"('connection_F3-51', 'connection_D2-231')",23750.0
"('connection_B1-53', 'connection_B1-62')",4625.0
"('connection_B1-53', 'connection_B1-68')",4625.0
"('connection_G2-54', 'connection_G2-122')",4625.0
"('connection_B3-58', 'connection_B3-85')",4625.0
"('connection_B3-58', 'connection_B2-253')",4625.0
"('connection_B2-59', 'connection_B2-60')",9980.0
"('connection_B2-60', 'connection_B1-70')",4625.0
"('connection_F4-64', 'connection_F4-66')",16100.0
"('connection_F4-65', 'connection_F4-67')",23750.0
"('connection_A4-72', 'connection_A4-234')",4625.0
"('connection_A4-73', 'connection_A4-234')",4625.0
"('connection_A3-76', 'connection_A3-120')",4625.0
"('connection_A4-80', 'connection_A4-81')",4625.0
"('connection_A4-80', 'connection_A3-94')",4625.0
"('connection_B3-84', 'connection_B3-86')",4625.0
"('connection_B3-87', 'connection_B3-241')",4625.0
"('connection_D1-93', 'connection_D1-127')",9980.0
"('connection_D1-93', 'connection_D1-209')",9980.0
"('connection_E1-98', 'connection_C3-141')",9980.0
"('connection_E1-98', 'connection_C3-146')",4625.0
"('connection_F2-99', 'connection_F2-107')",4625.0
"('connection_F2-99', 'connection_F2-115')",9980.0
"('connection_F2-101', 'connection_F2-106')",35225.0
"('connection_F2-103', 'connection_F2-119')",4625.0
"('connection_F1-104', 'connection_F1-224')",9980.0
"('connection_F2-107', 'connection_F2-119')",4625.0
"('connection_G1-109', 'connection_G1-110')",16100.0
"('connection_G1-109', 'connection_F2-133')",9980.0
"('connection_G1-110', 'connection_F2-116')",16100.0
"('connection_G1-111', 'connection_F2-133')",4625.0
"('connection_G1-112', 'connection_E2-136')",9980.0
"('connection_G1-113', 'connection_G1-118')",4625.0
"('connection_G1-117', 'connection_G1-118')",4625.0
"('connection_D1-125', 'connection_D2-154')",9980.0
"('connection_D1-127', 'connection_D2-154')",9980.0
"('connection_H3-124', 'connection_H3-125')",4625.0
"('connection_H3-124', 'connection_H3-132')",291500.0
"('connection_G2-128', 'connection_G2-248')",4625.0
"('connection_E4-130', 'connection_cad')",9980.0
"('connection_E2-135', 'connection_E2-205')",4625.0
"('connection_C2-142', 'connection_C2-217')",4625.0
"('connection_C2-145', 'connection_C2-147')",4625.0
"('connection_C1-156', 'connection_C1-158')",4625.0
"('connection_C1-156', 'connection_C1-160')",4625.0
"('connection_C1-158', 'connection_C2-221')",4625.0
"('connection_F3-162', 'connection_D1-0')",9980.0
"('connection_C2-179', 'connection_C2-201')",16100.0
"('connection_C2-185', 'connection_C1-226')",9980.0
"('connection_C2-186', 'connection_C2-187')",4625.0
"('connection_C2-186', 'connection_C2-188')",4625.0
"('connection_C2-187', 'connection_C2-217')",4625.0
"('connection_C2-188', 'connection_C2-189')",4625.0
"('connection_D1-2', 'connection_D2-232')",9980.0
"('connection_E1-202', 'connection_E2-205')",4625.0
